Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (12083399),James Harden,12083399,PG/SG/G/UTIL,11800,HOU@MIN 02/13/2019 08:00PM ET,HOU,63.25
SF/PF,Giannis Antetokounmpo (12083403),Giannis Antetokounmpo,12083403,SF/PF/F/UTIL,11200,MIL@IND 02/13/2019 07:00PM ET,MIL,56.99
C,Joel Embiid (12083407),Joel Embiid,12083407,C/UTIL,10600,PHI@NY 02/13/2019 07:30PM ET,PHI,54.71
C,Karl-Anthony Towns (12083409),Karl-Anthony Towns,12083409,C/UTIL,10300,HOU@MIN 02/13/2019 08:00PM ET,MIN,48.84
C,Nikola Jokic (12083411),Nikola Jokic,12083411,C/UTIL,10100,SAC@DEN 02/13/2019 09:00PM ET,DEN,49.78
PG,Kyrie Irving (12083417),Kyrie Irving,12083417,PG/G/UTIL,9400,DET@BOS 02/13/2019 07:30PM ET,BOS,44.54
SF/PF,Kawhi Leonard (12083413),Kawhi Leonard,12083413,SF/PF/F/UTIL,9400,WAS@TOR 02/13/2019 07:30PM ET,TOR,46.34
SF/PF,Kevin Durant (12083420),Kevin Durant,12083420,SF/PF/F/UTIL,9300,GS@POR 02/13/2019 10:30PM ET,GS,48.8
PG/SG,Stephen Curry (12083424),Stephen Curry,12083424,PG/SG/G/UTIL,9200,GS@POR 02/13/2019 10:30PM ET,GS,47.34
C,Andre Drummond (12083428),Andre Drummond,12083428,C/UTIL,9100,DET@BOS 02/13/2019 07:30PM ET,DET,44.64
PF/C,Blake Griffin (12083430),Blake Griffin,12083430,PF/C/F/UTIL,8900,DET@BOS 02/13/2019 07:30PM ET,DET,46.6
PG/SF,Luka Doncic (12083434),Luka Doncic,12083434,PG/SF/F/G/UTIL,8800,MIA@DAL 02/13/2019 08:30PM ET,DAL,40.71
SG,Bradley Beal (12083439),Bradley Beal,12083439,SG/G/UTIL,8700,WAS@TOR 02/13/2019 07:30PM ET,WAS,43.87
PG,Damian Lillard (12083442),Damian Lillard,12083442,PG/G/UTIL,8600,GS@POR 02/13/2019 10:30PM ET,POR,44.92
PG/SG,D'Angelo Russell (12083445),D'Angelo Russell,12083445,PG/SG/G/UTIL,8500,BKN@CLE 02/13/2019 07:00PM ET,BKN,37.48
PG/SF,Ben Simmons (12083449),Ben Simmons,12083449,PG/SF/F/G/UTIL,8400,PHI@NY 02/13/2019 07:30PM ET,PHI,43.58
PG/SG,Devin Booker (12083454),Devin Booker,12083454,PG/SG/G/UTIL,8300,PHO@LAC 02/13/2019 10:30PM ET,PHO,41.24
PF/C,Lauri Markkanen (12083458),Lauri Markkanen,12083458,PF/C/F/UTIL,8100,MEM@CHI 02/13/2019 08:00PM ET,CHI,35.04
PG,Mike Conley (12083462),Mike Conley,12083462,PG/G/UTIL,7800,MEM@CHI 02/13/2019 08:00PM ET,MEM,37.86
PG,Chris Paul (12083465),Chris Paul,12083465,PG/G/UTIL,7600,HOU@MIN 02/13/2019 08:00PM ET,HOU,37.67
PG,De'Aaron Fox (12083468),De'Aaron Fox,12083468,PG/G/UTIL,7500,SAC@DEN 02/13/2019 09:00PM ET,SAC,36.31
C,Jusuf Nurkic (12083471),Jusuf Nurkic,12083471,C/UTIL,7400,GS@POR 02/13/2019 10:30PM ET,POR,37.47
PG/SG,Zach LaVine (12083473),Zach LaVine,12083473,PG/SG/G/UTIL,7300,MEM@CHI 02/13/2019 08:00PM ET,CHI,37.2
PG,Kyle Lowry (12083477),Kyle Lowry,12083477,PG/G/UTIL,7300,WAS@TOR 02/13/2019 07:30PM ET,TOR,37.7
SG/SF,Jimmy Butler (12083480),Jimmy Butler,12083480,SG/SF/F/G/UTIL,7200,PHI@NY 02/13/2019 07:30PM ET,PHI,36.64
PG/SG,Lou Williams (12083485),Lou Williams,12083485,PG/SG/G/UTIL,7100,PHO@LAC 02/13/2019 10:30PM ET,LAC,32.42
C,Clint Capela (12083489),Clint Capela,12083489,C/UTIL,7100,HOU@MIN 02/13/2019 08:00PM ET,HOU,40.64
PF/C,Kevin Love (12083495),Kevin Love,12083495,PF/C/F/UTIL,7000,BKN@CLE 02/13/2019 07:00PM ET,CLE,34.08
SF/PF,Danilo Gallinari (12083491),Danilo Gallinari,12083491,SF/PF/F/UTIL,7000,PHO@LAC 02/13/2019 10:30PM ET,LAC,32.57
PF/C,Montrezl Harrell (12083505),Montrezl Harrell,12083505,PF/C/F/UTIL,6900,PHO@LAC 02/13/2019 10:30PM ET,LAC,31.18
PG,Eric Bledsoe (12083509),Eric Bledsoe,12083509,PG/G/UTIL,6900,MIL@IND 02/13/2019 07:00PM ET,MIL,33.71
PG/SG,CJ McCollum (12083501),CJ McCollum,12083501,PG/SG/G/UTIL,6900,GS@POR 02/13/2019 10:30PM ET,POR,33.1
PG/SG,Terry Rozier (12083512),Terry Rozier,12083512,PG/SG/G/UTIL,6900,DET@BOS 02/13/2019 07:30PM ET,BOS,21.86
C,Hassan Whiteside (12083499),Hassan Whiteside,12083499,C/UTIL,6900,MIA@DAL 02/13/2019 08:30PM ET,MIA,35.59
C,Marc Gasol (12083516),Marc Gasol,12083516,C/UTIL,6800,WAS@TOR 02/13/2019 07:30PM ET,TOR,37.82
